Article,Articles référencés
0001001,"['9308122', '9309097', '9311042', '9401139', '9404151', '9407087', '9408099', '9501030', '9503124', '9504090', '9504145', '9505025', '9505054', '9505105', '9505162', '9506048', '9506112', '9506144', '9507050', '9507158', '9508094', '9508155', '9510142', '9510225', '9510234', '9511030', '9511171', '9601108', '9602022', '9602114', '9603003', '9603150', '9603161', '9603167', '9605184', '9605222', '9606017', '9606040', '9607163', '9607207', '9608086', '9609070', '9609071', '9609239', '9611137', '9612108', '9701162', '9702094', '9702155', '9702198', '9703082', '9703166', '9704097', '9705030', '9705044', '9705104', '9705220', '9706005', '9707014', '9707042', '9707049', '9710230', '9711036', '9711104', '9712028', '9712042', '9802194', '9805056', '9805206', '9806094', '9810188', '9811217', '9905036', '9907041', '9908007', '9908144', '9909108', '9909120', '9909229', '9910238', '9910248', '9910268']"
0001002,"['9201007', '9204031', '9210123', '9304062', '9306005', '9402089', '9604090', '9803235', '9807051', '9809015', '9810063', '9812035', '9902125', '9902155', '9904017', '9905012', '9905210', '9906064', '9906194', '9907070', '9907209', '9908076', '9908116', '9908186', '9909001', '9909041', '9909053', '9909058', '9909121', '9909134', '9910149', '9910219', '9912012', '9912118', '9912132', '9912187']"
0001003,['9912242']
0001004,['9810131']
0001005,"['9311183', '9506135', '9601078', '9603097', '9611092', '9611194', '9712257', '9805026', '9811178', '9901099', '9902132', '9904145', '9908025', '9908036', '9908040', '9909030', '9909114', '9909140', '9909163', '9910148', '9912239']"
0001006,['9910243']
0001007,"['9405171', '9807069', '9901148', '9911150']"
0001008,"['9301008', '9301014', '9303112', '9405029', '9409139', '9507046']"
0001009,['9610215']
0001010,"['9603136', '9608174', '9706225', '9808157', '9901128']"
0001011,"['9510135', '9610043', '9612115', '9703038', '9703078', '9708039', '9710231', '9711162', '9711200', '9712072', '9804041', '9804163', '9805069', '9902004', '9903205', '9907211', '9908019', '9908142', '9909081', '9909176']"
0001012,"['9205059', '9206053', '9302035', '9306002', '9403141', '9405136', '9506136', '9507109', '9702190', '9911110']"
0001013,"['0001002', '0001003', '9906064', '9907209', '9909076', '9909127', '9909130', '9909205', '9911055', '9911234', '9912276']"
0001014,"['9502097', '9606100', '9803011', '9806244', '9807215', '9903055', '9903266', '9904136']"
0001015,['9811016']
0001016,"['9607049', '9711002', '9711200', '9802109', '9802150', '9805114', '9806087', '9806217', '9807226', '9808057', '9810126', '9902012', '9903190', '9903241', '9906164', '9907158', '9911215', '9912012', '9912018']"
0001017,"['9609035', '9610193', '9807069', '9808129', '9811053', '9811077', '9811171', '9902140', '9903223', '9905215']"
