Auteurs,References articles
C.Itzykson,"['9201001', '9201055', '9206090', '9212108', '9401163', '9412175', '9604104']"
J.-B.Zuber,"['9201001', '9201055', '9206090', '9211138', '9306018', '9311104', '9312209', '9410209', '9412202', '9510175', '9701103', '9809097', '0009219', '0011021', '0101151', '0103007', '0201239']"
F.Bonechi,"['9201002', '9203048', '9204054', '9311114', '9312129', '9409048']"
E.Celeghini,"['9201002', '9203048', '9204054', '9405139', '9801031', '0109026']"
R.Giachetti,"['9201002', '9203048', '9204054', '9311114', '9312129', '9409048', '0304055']"
E.Sorace,"['9201002', '9203048', '9204054', '9311114', '9312129', '9409048']"
M.Tarlini,"['9201002', '9203048', '9204054', '9304160', '9310173', '9311114', '9312129', '9409048']"
Robbert Dijkgraaf,"['9201003', '9801066', '0005003', '0103170', '0206255', '0207106', '0208048', '0210238', '0211194', '0211241', '0302011']"
Nathan Berkovits,"['9201004', '9208035', '9211025', '9303025', '9303122', '9306109', '9308128', '9308129', '9310170', '9312013', '9404162', '9405144', '9407190', '9412179', '9503099', '9506036', '9510106', '9604120', '9604121', '9604123', '9607070', '9610134', '9610226', '9704109', '9706024', '9707242', '9709116', '9711087', '9711055', '9712056', '9801009', '9803145', '9902099', '9908041', '9910251', '9912120', '9912121', '0001035', '0001084', '0002211', '0004171', '0006003', '0008145', '0009168', '0104247', '0105050', '0105149', '0105230', '0107140', '0109100', '0110168', '0112160', '0201151', '0203248', '0204121', '0205154', '0208092', '0209059', '0210078']"
Igor R.Klebanov,"['9201005', '9204052', '9210105', '9310098', '9311092', '9311015', '9402113', '9407014', '9407167', '9409064', '9507062', '9511173', '9604065', '9606136', '9608108', '9612051', '9701187', '9702076', '9703216', '9704112', '9708005', '9709108', '9709160', '9710240', '9803023', '9805156', '9807080', '9808075', '9812089', '9901018', '9905104', '9906220', '9908165', '9909109', '9911096', '0006085', '0007191', '0009017', '0009139', '0009140', '0101020', '0108101', '0108106', '0111078', '0202056', '0202150', '0202153', '0205100', '0206221', '0212138', '0303076', '0304079']"
Denis Bernard,"['9201006', '9206002', '9206003', '9211133', '9309154', '9411017', '9412194', '9506141', '9509137', '9612210', '0103096', '0210015', '0301064']"
Mirjam Cvetic,"['9201007', '9202067', '9205029', '9206004', '9209117', '9210006', '9304062', '9306015', '9311176', '9312184', '9402089', '9411170', '9502099', '9502119', '9503082', '9507090', '9510098', '9512031', '9512127', '9512188', '9603100', '9603147', '9604090', '9605051', '9606193', '9612229', '9701152', '9702205', '9703134', '9703204', '9705192', '9706071', '9708090', '9709033', '9712118', '9712221', '9805097', '9805133', '9805146', '9810142', '9902195', '9903132', '9909058', '9911021', '9912187', '0001159', '0002057', '0006049', '0010091', '0101007', '0106177', '0107143', '0107166', '0111179', '0201272', '0206115', '0206180', '0212177', '0303083', '0303197', '0303208', '0303266']"
Stephen Griffies,"['9201007', '9206004', '9209117', '9212020']"
Soo-Jong Rey,"['9201007', '9206004', '9305064', '9512129', '9604037', '9605176', '9607148', '9607184', '9609115', '9610157', '9701139', '9704158', '9705132', '9706115', '9707099', '9710192', '9710245', '9711081', '9711202', '9712055', '9803001', '9803135', '9807200', '9807241', '9810154', '9811008', '9812062', '9902101', '9902173', '9903129', '9905205', '9908110', '9911199', '0007055', '0007089', '0007154', '0008042', '0008214', '0012165', '0104135', '0107106', '0111059', '0203080', '0203164', '0207108', '0301049', '0303133', '0303235']"
Satoshi Matsuda,"['9201008', '9403035', '9609184', '9610212', '0008216', '0105080']"
Eva Silverstein,"['9201009', '9403054', '9503150', '9503212', '9508096', '9608194', '9610205', '9611195', '9612162', '9703052', '9704185', '9709118', '9709209', '9712166', '9807076', '9808056', '9810129', '9907038', '9912244', '0001206', '0002121', '0006192', '0009057', '0010144', '0103220', '0105309', '0106209', '0112178', '0205316', '0209226', '0304220']"
A.Marshakov,"['9201010', '9201011', '9201013', '9203043', '9203044', '9208022', '9208044', '9208046', '9210072', '9303100', '9303101', '9312210', '9401010', '9404126', '9503018', '9505035', '9510224', '9601161', '9602005', '9603140', '9604078', '9607109', '9607159', '9608161', '9610242', '9701014', '9701123', '9702083', '9706050', '9709001', '9711156', '9802007', '9809196', '9812078', '9902205', '9903252', '9906240', '9906029', '9912124', '0009060', '0011222', '0104109', '0105289', '0105260', '0108023', '0109048', '0201267', '0202172', '0205308', '0212114', '0301071']"
A.Mironov,"['9201010', '9201011', '9201012', '9201013', '9203043', '9203044', '9208044', '9208046', '9209100', '9312210', '9312212', '9312213', '9404005', '9405011', '9409190', '9505035', '9601161', '9603140', '9604078', '9606144', '9607109', '9607123', '9612094', '9701014', '9701123', '9704205', '9707120', '9710239', '9711156', '9712177', '9801149', '9802007', '9809196', '9812078', '9902030', '9902205', '9903088', '9906240', '9912088', '0001168', '0005244', '0005280', '0010078', '0011093', '0011197', '0104253', '0105169', '0107114', '0205202', '0209085', '0301071', '0301196']"
A.Morozov,"['9201010', '9201011', '9201013', '9203043', '9203044', '9208012', '9208044', '9208046', '9208054', '9209074', '9303139', '9303150', '9311142', '9312145', '9312210', '9312213', '9404005', '9405011', '9502091', '9505035', '9511126', '9512161', '9601161', '9601168', '9603066', '9603140', '9604078', '9607109', '9610137', '9701014', '9701123', '9706050', '9711194', '9712177', '9802007', '9810031', '9812078', '9902205', '9903087', '9906240', '9912088', '0001168', '0005053', '0005244', '0005280', '0105169', '0107114', '0211245', '0211259', '0212032', '0301136']"
A.Zabrodin,"['9201012', '9201013', '9505039', '9604080', '9610039', '9704074', '9704090', '9709168', '9909147', '0005259', '0105260', '0109048', '0210159']"
